STT,Ho va ten,Ma sinh vien,Chuyen can,Kiem tra giua ky,Diem BTL,Kiem tra cuoi ky,TBM
53,Vo Thanh Huong,B22DCKH675,9.1,6.9,1.2,8.8,6.5
54,Phan Manh Quang,B22DCKH729,9.3,3.0,7.1,6.4,6.4
55,Huynh Xuan Vy,B22DCCN945,7.1,6.8,2.5,7.1,5.9
56,Le Huu Tuan,B22DCFT226,6.8,2.2,8.0,9.7,6.7
57,Nguyen Minh Binh,B22DCPT404,6.0,3.0,4.3,6.4,4.9
58,Le Cong Hoa,B22DCKT428,7.3,5.0,5.9,8.7,6.7
59,Ta Cong Yen,B22DCKT939,9.6,6.0,1.1,2.7,4.8
60,Bui Duc Ngoc,B22DCBC958,7.3,6.2,3.1,7.6,6.1
61,Dinh Quoc Yen,B22DCCN376,6.7,6.9,7.9,5.6,6.8
62,Nguyen Quoc Vy,B22DCKH083,6.8,2.6,6.5,9.2,6.3
63,Vo Huu Minh,B22DCBC451,8.1,0.7,0.6,4.2,3.4
64,Dang Manh Khanh,B22DCBC377,8.2,6.6,2.6,9.1,6.6
65,Bui Manh Anh,B22DCPT480,6.5,4.3,3.3,1.8,4.0
66,Tran Gia Phong,B22DCMR811,7.5,9.8,2.7,1.0,5.2
67,Ly Gia Trung,B22DCQT866,6.1,4.0,2.3,9.8,5.5
68,Do Xuan Hai,B22DCMR786,9.6,3.5,2.0,2.8,4.5
69,Ly Thanh Viet,B22DCFT934,9.7,3.1,9.3,5.3,6.9
70,Dang Huu Long,B22DCFT035,6.0,2.8,0.9,7.5,4.3
71,Pham Ngoc Hai,B22DCKH555,8.4,0.2,4.4,0.0,3.2
72,Mai Xuan Nga,B22DCVT150,7.7,9.0,7.2,3.3,6.8
73,Pham Quoc Binh,B22DCQT488,7.9,2.2,6.8,6.6,5.9
74,Bui Huu Phong,B22DCFT152,9.5,9.1,0.5,2.0,5.3
75,Ta Manh Linh,B22DCPT760,9.3,8.8,9.3,0.3,6.9
76,Nguyen Dinh Thao,B22DCMR579,6.4,2.0,7.7,1.3,4.4
77,Ho Thu Linh,B22DCCN676,7.7,6.1,2.6,0.7,4.3
78,Pham Huu Khanh,B22DCCN358,9.0,7.5,5.2,9.0,7.7
79,Le Xuan Thao,B22DCCN085,6.3,1.8,4.9,9.3,5.6
80,Ngo Quang Vy,B22DCKH208,7.8,8.1,6.0,4.8,6.7
81,Ta Quang Hoa,B22DCVT242,7.4,4.0,5.3,9.5,6.5
82,Doan Quoc Ngan,B22DCKT484,6.9,4.9,0.8,8.4,5.2
83,Bui Xuan Giang,B22DCKT902,6.8,3.3,0.4,7.0,4.4
84,Vo Huu Son,B22DCAT561,9.6,7.5,6.4,0.6,6.0
85,Tran Minh Minh,B22DCPT178,8.3,5.1,7.1,2.3,5.7
86,Vu Thi Trang,B22DCFT716,9.4,3.7,9.9,2.7,6.4
87,Le Cong Giang,B22DCAT207,9.4,4.0,1.3,0.7,3.9
88,Doan Dinh Dung,B22DCPT322,9.7,0.2,0.4,7.3,4.4
89,Tran Duc Mai,B22DCKT683,9.8,1.7,6.3,4.0,5.5
90,Bui Manh Huy,B22DCFT851,6.8,0.3,8.3,1.8,4.3
91,Huynh Duc Trang,B22DCVT214,9.1,1.5,4.4,1.7,4.2
92,Vu Ngoc Chau,B22DCMR150,9.4,9.0,6.3,3.7,7.1
93,Hoang Xuan Dung,B22DCAT835,8.1,8.6,4.4,7.1,7.1
94,Doan Thanh Son,B22DCKT530,9.7,1.5,5.0,4.6,5.2
95,Do Duc An,B22DCKH321,10.0,1.5,1.6,6.0,4.8
96,Dinh Quang Dung,B22DCMR232,7.9,3.2,7.8,7.0,6.5
97,Ly Thanh Tam,B22DCBC860,8.8,3.8,8.8,7.1,7.1
98,Doan Thanh Phuc,B22DCQT451,9.9,7.1,7.0,9.7,8.4
99,Vo Xuan Ly,B22DCKH637,9.6,3.0,4.9,1.3,4.7
100,Huynh Minh Hoa,B22DCPT136,8.2,2.1,4.4,0.6,3.8
101,Vu Manh Chau,B22DCMR656,8.0,5.5,7.6,7.6,7.2
102,Huynh Thanh Ha,B22DCKT311,8.5,9.8,2.6,5.1,6.5
103,Ho Duc Giang,B22DCCN169,9.5,4.0,6.7,5.6,6.4
104,Pham Huu Phuong,B22DCKH081,7.7,1.3,4.1,4.3,4.3
105,Tran Gia Vy,B22DCPT785,8.6,3.4,3.8,4.0,5.0
106,Ngo Xuan Anh,B22DCBC252,6.2,6.1,1.3,8.4,5.5
107,Ngo Quoc Viet,B22DCKH368,6.7,2.1,2.2,9.6,5.2
108,Pham Cong Anh,B22DCVT446,8.4,5.9,2.5,7.8,6.2
109,Ho Xuan Hai,B22DCVT354,9.4,2.9,9.4,8.0,7.4
110,Bui Duc Viet,B22DCQT857,7.2,6.3,7.7,7.1,7.1
111,Ngo Huu Chau,B22DCQT886,6.8,3.8,1.5,2.5,3.6
112,Dinh Dinh Trang,B22DCCN484,8.0,5.3,2.0,9.4,6.2
113,Ly Quang Linh,B22DCKT963,6.6,5.9,7.1,7.2,6.7
114,Pham Minh Chi,B22DCKT301,8.2,6.0,8.2,6.1,7.1
115,Doan Cong Yen,B22DCKT440,8.3,2.4,0.3,4.3,3.8
116,Ngo Cong Trang,B22DCKH086,6.5,5.3,1.8,4.7,4.6
117,Do Thanh Huong,B22DCPT034,9.4,3.3,2.2,0.2,3.8
118,Hoang Gia Huy,B22DCKH583,6.7,3.3,9.0,0.1,4.8
119,Phan Xuan Viet,B22DCPT578,7.2,3.0,2.2,5.0,4.3
120,Dinh Thanh Tam,B22DCVT848,8.5,6.2,7.5,8.7,7.7
121,Pham Ngoc Ha,B22DCCN102,6.5,8.4,1.2,7.1,5.8
122,Dang Manh Thang,B22DCFT556,7.3,7.2,6.3,2.8,5.9
123,Hoang Van An,B22DCPT359,9.8,3.9,6.7,2.0,5.6
124,Hoang Cong Giang,B22DCQT469,7.4,3.1,3.8,5.1,4.8
125,Ly Thu Lan,B22DCKH257,6.8,0.8,1.7,3.7,3.2
126,Pham Quoc Anh,B22DCMR584,7.2,1.6,8.8,6.4,6.0
127,Ta Dinh Chau,B22DCPT340,9.8,8.0,1.1,1.6,5.1
128,Le Gia Quan,B22DCFT028,6.3,2.6,8.4,5.3,5.7
129,Phan Xuan Nhi,B22DCCN195,8.2,6.1,10.0,8.9,8.3
130,Vo Bao Nam,B22DCKT208,9.0,7.4,0.2,2.0,4.6
131,Hoang Van Tu,B22DCKH594,9.7,7.4,3.5,3.9,6.1
132,Nguyen Duc Tuan,B22DCPT435,8.0,7.4,2.8,7.9,6.5
133,Dang Van Vy,B22DCAT560,7.7,3.0,4.0,6.5,5.3
134,Doan Bao Ly,B22DCKT653,8.8,2.3,3.6,2.1,4.2
135,Vu Manh Tam,B22DCFT753,6.5,9.0,4.3,2.1,5.5
136,Tran Van Yen,B22DCKH934,6.1,7.0,2.4,7.9,5.8
137,Doan Van Khanh,B22DCKT495,6.5,4.2,2.1,6.6,4.8
138,Le Duc Vy,B22DCMR083,8.9,4.1,0.4,5.1,4.6
139,Mai Manh Linh,B22DCFT414,6.4,1.8,0.4,2.2,2.7
140,Duong Bao Linh,B22DCCN906,10.0,7.6,9.5,0.7,7.0
141,Le Thi Trang,B22DCQT768,9.3,5.6,2.5,9.7,6.8
142,Ly Thu Lan,B22DCVT662,7.0,0.7,8.4,2.8,4.7
143,Nguyen Bao Quan,B22DCPT029,7.9,8.5,0.5,7.3,6.0
144,Vu Manh Trung,B22DCQT850,8.4,5.6,3.7,2.6,5.1
145,Pham Cong Huy,B22DCAT003,7.6,3.9,5.5,6.3,5.8
146,Do Bao Nhi,B22DCAT324,6.1,5.1,1.9,6.7,5.0
147,Bui Dinh Tuan,B22DCVT330,8.1,1.7,9.2,1.9,5.2
148,Ta Ngoc Anh,B22DCKH670,9.1,2.9,4.5,4.8,5.3
149,Le Dinh Ngan,B22DCMR513,7.0,6.3,8.4,3.8,6.4
150,Dang Thu Son,B22DCKT798,7.2,8.4,1.6,4.7,5.5
151,Bui Thi Giang,B22DCQT160,6.0,2.4,9.5,6.8,6.2
152,Le Quang Bao,B22DCKT379,7.3,5.0,3.5,10.0,6.5
153,Vu Gia Chau,B22DCCN076,6.5,3.7,1.7,2.6,3.6
154,Vo Ngoc Viet,B22DCKT114,8.7,0.7,2.5,5.8,4.4
155,Vu Thu Binh,B22DCBC391,6.2,7.4,4.3,7.2,6.3
156,Ho Cong Ngoc,B22DCBC973,9.8,8.1,8.8,4.0,7.7
157,Duong Huu Lan,B22DCBC683,9.1,4.7,0.5,2.7,4.2
158,Bui Ngoc Dung,B22DCFT840,9.0,3.6,0.7,6.9,5.0
159,Vo Cong Long,B22DCKH939,6.8,2.8,3.9,8.9,5.6
160,Ngo Xuan Viet,B22DCVT630,9.3,9.5,4.2,5.1,7.0
161,Huynh Thi Linh,B22DCPT791,7.5,1.5,7.9,7.5,6.1
162,Pham Minh Hoa,B22DCVT983,7.3,1.1,3.7,2.5,3.7
163,Dang Duc Yen,B22DCKH744,7.4,5.5,0.0,1.7,3.6
164,Doan Gia Yen,B22DCMR378,8.7,7.1,7.7,9.0,8.1
165,Vu Quoc Nhi,B22DCQT116,7.6,5.1,1.0,6.8,5.1
166,Mai Huu Mai,B22DCMR982,6.5,7.0,2.3,4.2,5.0
167,Vo Minh Lan,B22DCKT608,8.3,4.1,9.1,4.8,6.6
168,Bui Gia Phong,B22DCMR471,7.7,4.9,4.6,1.8,4.8
169,Le Xuan Linh,B22DCQT912,6.8,1.6,8.6,6.4,5.8
170,Doan Manh Trang,B22DCPT395,9.4,3.6,1.9,9.8,6.2
171,Mai Quoc Giang,B22DCKT125,8.4,6.1,4.7,8.8,7.0
172,Dinh Quoc Viet,B22DCKT294,7.7,7.4,8.3,3.4,6.7
173,Hoang Bao Chi,B22DCCN354,7.5,9.9,4.1,1.3,5.7
174,Ngo Manh Nhi,B22DCFT186,8.7,0.3,3.4,5.9,4.6
175,Do Ngoc Trung,B22DCFT358,8.1,1.2,0.0,3.6,3.2
176,Pham Xuan Trang,B22DCQT078,6.2,9.0,9.9,7.0,8.0
177,Do Quang Huong,B22DCAT634,9.0,8.9,3.9,8.5,7.6
178,Dang Huu Quan,B22DCPT502,9.4,5.0,6.0,7.9,7.1
179,Dinh Minh Thao,B22DCKH734,8.3,0.3,9.7,9.4,6.9
180,Ngo Bao Hieu,B22DCAT204,6.2,6.4,1.1,8.0,5.4
181,Nguyen Quang Quan,B22DCMR441,9.7,6.6,1.9,5.2,5.8
182,Ho Manh Hung,B22DCMR047,9.9,4.1,2.8,7.4,6.1
183,Dang Van An,B22DCBC460,8.2,4.5,4.6,9.2,6.6
184,Ly Thanh Hieu,B22DCMR003,7.2,2.7,2.2,2.5,3.7
185,Phan Bao Tu,B22DCPT369,7.9,4.3,3.0,5.6,5.2
186,Vo Quoc Minh,B22DCBC874,8.7,7.0,0.8,3.4,5.0
187,Doan Bao Duy,B22DCPT609,8.4,3.8,0.3,6.9,4.8
188,Hoang Huu Ngan,B22DCKH094,9.6,0.1,2.3,6.1,4.5
189,Tran Bao Ngoc,B22DCQT450,7.1,8.6,2.1,5.9,5.9
190,Mai Bao Son,B22DCFT109,6.3,7.9,8.5,0.2,5.7
191,Mai Gia Ha,B22DCKT280,8.8,9.7,2.9,6.3,6.9
192,Doan Quoc Nam,B22DCFT696,8.9,9.5,9.7,2.5,7.6
193,Dang Van Ngan,B22DCKH598,7.4,2.7,4.3,2.6,4.3
194,Ngo Xuan Phuong,B22DCAT223,6.3,9.0,8.8,7.4,7.9
195,Do Xuan Nhi,B22DCMR076,7.8,7.8,7.5,7.6,7.7
196,Tran Bao Phong,B22DCCN851,8.5,6.8,4.6,3.9,5.9
197,Do Dinh Minh,B22DCBC658,7.3,9.8,4.5,3.2,6.2
198,Bui Bao Hieu,B22DCMR918,9.3,9.7,6.5,9.7,8.8
199,Dinh Thanh Tuan,B22DCFT939,9.2,1.1,8.2,3.2,5.4
200,Vu Xuan Quang,B22DCKT815,7.4,7.4,0.4,0.1,3.8
201,Do Xuan Vy,B22DCPT700,7.6,1.8,1.8,0.5,2.9
202,Do Van Ha,B22DCFT335,7.7,7.4,2.1,10.0,6.8
203,Vo Dinh Hoa,B22DCKH925,9.6,8.4,1.5,6.7,6.5
204,Duong Bao Ha,B22DCPT569,9.6,7.7,6.6,7.7,7.9
205,Tran Ngoc Viet,B22DCFT033,9.8,5.4,3.6,6.7,6.4
206,Mai Dinh An,B22DCMR994,7.2,7.9,2.3,9.1,6.6
207,Doan Huu An,B22DCBC718,8.7,2.3,3.6,9.2,5.9
208,Vo Minh Hai,B22DCBC847,6.8,4.2,5.2,8.9,6.3
209,Huynh Huu Viet,B22DCPT031,7.2,7.8,8.2,4.5,6.9
210,Do Van Bao,B22DCKT199,7.3,8.3,1.5,6.2,5.8
211,Vu Ngoc Giang,B22DCKT326,6.3,4.0,8.1,4.0,5.6
212,Ho Duc Nhi,B22DCVT489,6.2,5.3,6.7,7.0,6.3
213,Dinh Manh Phuc,B22DCAT717,8.7,2.2,3.9,2.2,4.2
214,Tran Xuan Thao,B22DCKH261,7.8,1.1,0.9,9.9,4.9
215,Ngo Bao Tu,B22DCMR146,8.5,2.1,9.9,2.6,5.8
216,Dang Ngoc Hoa,B22DCKT601,8.0,1.8,1.6,2.5,3.5
217,Doan Quoc Nhi,B22DCBC988,8.5,6.5,9.1,4.4,7.1
218,Do Quoc Quang,B22DCFT763,8.9,8.4,1.0,5.8,6.0
219,Ta Thi An,B22DCCN224,6.8,0.5,1.2,3.8,3.1
220,Dang Cong Binh,B22DCCN715,8.1,0.3,2.5,4.9,4.0
221,Ta Xuan Hai,B22DCMR515,9.3,3.8,0.7,5.1,4.7
222,Tran Gia Thang,B22DCCN824,9.2,9.7,9.1,6.4,8.6
223,Do Huu Minh,B22DCCN800,8.4,8.7,8.2,0.8,6.5
224,Le Manh Tuan,B22DCBC191,8.8,1.1,2.1,2.5,3.6
225,Vu Huu Dung,B22DCMR155,8.4,7.9,3.6,2.2,5.5
226,Nguyen Cong Tu,B22DCVT021,9.6,7.8,2.6,6.4,6.6
227,Ho Van Hung,B22DCQT093,7.8,6.7,3.3,9.7,6.9
228,Dang Minh Nam,B22DCCN909,8.6,2.9,3.7,5.5,5.2
229,Mai Duc Tu,B22DCVT459,8.7,5.5,4.4,0.9,4.9
230,Dang Thu Khanh,B22DCQT066,6.9,3.4,1.4,8.1,5.0
231,Vu Duc Thang,B22DCBC033,7.8,7.1,3.0,4.7,5.6
232,Nguyen Gia Ngan,B22DCKT570,6.8,0.3,4.6,3.5,3.8
233,Bui Bao Lan,B22DCVT492,6.8,8.2,5.4,2.8,5.8
234,Ngo Gia Binh,B22DCPT952,7.1,9.7,8.7,3.1,7.1
235,Ta Bao Quan,B22DCMR182,7.2,5.5,4.5,7.6,6.2
236,Duong Gia Mai,B22DCCN588,6.7,1.4,8.6,7.6,6.1
237,Dang Manh Tuan,B22DCAT482,9.3,5.3,3.6,3.4,5.4
238,Phan Van Thao,B22DCCN074,9.1,3.4,3.2,2.5,4.5
239,Ngo Thanh Hung,B22DCFT565,6.9,3.6,1.5,9.8,5.5
240,Hoang Dinh Anh,B22DCAT176,9.3,3.0,1.9,2.6,4.2
241,Pham Thi An,B22DCQT536,9.8,2.2,8.5,1.9,5.6
242,Tran Thi Khanh,B22DCMR573,8.5,5.1,0.1,4.6,4.6
243,Do Duc Quang,B22DCCN827,6.2,1.9,8.4,5.7,5.5
244,Dinh Thu Thang,B22DCAT703,7.7,4.6,5.9,9.1,6.8
245,Ho Gia Hoa,B22DCAT376,7.8,9.9,0.6,2.5,5.2
246,Huynh Bao Long,B22DCBC172,7.7,1.2,5.5,3.4,4.5
247,Huynh Manh An,B22DCKH481,7.3,5.8,0.2,6.7,5.0
248,Ho Manh Anh,B22DCPT852,7.6,7.0,7.0,7.7,7.3
249,Nguyen Minh Nam,B22DCMR941,8.7,4.2,0.2,5.2,4.6
250,Vo Ngoc Viet,B22DCFT844,7.9,1.9,6.5,8.2,6.1
251,Dang Huu Lan,B22DCAT262,9.3,6.1,0.9,2.6,4.7
252,Le Thi Ngoc,B22DCVT279,8.4,3.7,8.3,1.8,5.6
253,Doan Quang Huy,B22DCAT367,6.7,3.5,5.4,0.3,4.0
254,Ngo Huu Nga,B22DCMR224,9.3,1.8,1.8,6.2,4.8
255,Phan Ngoc Hieu,B22DCFT830,9.7,4.0,0.4,3.1,4.3
256,Le Minh Nhi,B22DCKT399,9.9,3.7,3.2,5.5,5.6
257,Dang Huu Nam,B22DCKH041,7.3,8.8,4.5,4.6,6.3
258,Dang Bao Phong,B22DCBC037,6.9,4.8,0.5,5.4,4.4
259,Dinh Huu Tuan,B22DCMR680,6.0,6.0,6.2,9.6,6.9
260,Doan Ngoc Huy,B22DCQT271,6.7,0.9,6.5,4.5,4.7
261,Hoang Minh Giang,B22DCMR509,7.1,3.6,9.4,9.5,7.4
262,Bui Thu Son,B22DCKT269,8.4,9.7,3.3,3.8,6.3
263,Nguyen Gia Ngan,B22DCBC379,6.5,0.1,3.0,8.8,4.6
264,Dang Duc Thao,B22DCFT179,6.3,8.5,9.5,7.8,8.0
265,Vu Xuan Minh,B22DCKT305,9.6,0.0,6.6,1.5,4.4
266,Mai Bao Giang,B22DCCN509,7.5,1.6,7.2,2.0,4.6
267,Nguyen Manh Bao,B22DCQT361,7.5,0.1,3.9,2.3,3.5
268,Phan Thi Trung,B22DCCN281,8.4,0.6,5.5,3.8,4.6
269,Tran Manh Duy,B22DCKH685,6.2,6.8,4.4,9.4,6.7
270,Le Bao Son,B22DCKT002,9.1,8.0,6.7,6.6,7.6
271,Ta Huu Hieu,B22DCBC712,7.7,9.9,8.7,3.2,7.4
272,Dang Gia Duy,B22DCBC057,7.1,4.4,1.9,6.5,5.0
273,Pham Gia Ly,B22DCBC444,6.4,3.4,5.1,4.5,4.8
274,Ta Gia Trung,B22DCPT777,6.4,1.0,1.7,2.9,3.0
275,Phan Van Phong,B22DCMR386,9.4,1.7,1.3,3.2,3.9
276,Huynh Thanh Ly,B22DCQT142,7.1,6.6,1.5,3.5,4.7
277,Duong Thanh Mai,B22DCBC342,9.3,4.9,8.3,1.3,6.0
278,Hoang Cong Chau,B22DCVT708,6.6,9.4,3.5,8.6,7.0
279,Le Huu Nam,B22DCPT451,10.0,0.2,1.7,7.8,4.9
280,Le Huu Bao,B22DCCN127,9.7,0.6,6.2,0.7,4.3
281,Dinh Gia Nam,B22DCAT544,7.3,5.9,5.9,0.6,4.9
282,Do Minh Hoa,B22DCMR927,6.8,0.7,3.6,6.4,4.4
283,Vu Quang Tam,B22DCVT168,6.7,3.0,3.9,8.1,5.4
284,Nguyen Minh Duy,B22DCMR605,7.7,3.1,3.0,5.9,4.9
285,Huynh Thi Vy,B22DCPT935,8.4,5.2,3.3,6.0,5.7
286,Pham Minh Phuong,B22DCVT491,7.5,6.6,9.7,6.3,7.5
287,Vo Ngoc Hung,B22DCMR590,8.4,8.9,1.1,5.9,6.1
288,Ta Bao Anh,B22DCMR307,7.9,0.8,6.3,3.8,4.7
289,Pham Quang Chi,B22DCQT840,9.5,0.6,4.4,0.0,3.6
290,Hoang Minh Giang,B22DCBC974,8.7,2.9,0.5,5.5,4.4
291,Vu Dinh Nhi,B22DCAT588,7.0,9.4,2.4,1.1,5.0
292,Ho Ngoc Bao,B22DCKH389,8.3,0.8,5.3,8.1,5.6
293,Vu Gia Nhi,B22DCKH691,6.1,9.1,6.1,3.1,6.1
294,Duong Manh Viet,B22DCKT722,7.8,7.4,3.5,7.4,6.5
295,Hoang Quang Hieu,B22DCMR776,7.2,9.3,6.7,2.2,6.3
296,Ta Minh Tam,B22DCQT383,6.0,0.4,9.6,7.4,5.8
297,Pham Xuan Nga,B22DCVT156,6.3,3.9,7.8,4.6,5.7
298,Ta Thi Huong,B22DCAT571,7.9,4.8,9.1,8.8,7.6
299,Hoang Manh Trung,B22DCQT673,8.2,4.9,4.2,4.5,5.5
300,Nguyen Xuan Huy,B22DCPT717,9.4,3.0,1.2,1.2,3.7
301,Huynh Huu Quan,B22DCKT387,9.9,7.7,3.5,5.7,6.7
302,Tran Cong Hieu,B22DCVT914,8.9,1.3,5.0,0.6,4.0
303,Ly Duc Tuan,B22DCCN296,7.7,9.4,0.8,1.1,4.8
304,Pham Huu Duy,B22DCBC938,6.9,7.2,9.3,4.8,7.1
305,Dinh Gia Son,B22DCCN505,9.1,5.2,4.3,5.0,5.9
306,Do Minh Hung,B22DCFT616,6.9,5.8,6.3,6.7,6.4
307,Vu Thu Huong,B22DCKH647,8.0,7.3,2.7,6.4,6.1
308,Duong Thi Hoa,B22DCQT748,7.5,9.3,6.4,1.5,6.2
309,Ly Thi Phuong,B22DCCN336,6.1,2.9,6.3,9.8,6.3
310,Ho Xuan Nam,B22DCPT427,6.4,2.2,1.1,2.0,2.9
311,Ngo Duc Anh,B22DCPT013,6.0,4.5,6.9,5.7,5.8
312,Ly Gia Hieu,B22DCKT441,9.9,5.7,0.3,6.1,5.5
313,Phan Quang Dung,B22DCPT897,6.8,7.4,0.8,2.1,4.3
314,Nguyen Van Quang,B22DCKT373,8.1,9.7,7.0,6.3,7.8
315,Hoang Quang Hung,B22DCKT656,9.4,8.1,5.4,6.6,7.4
316,Huynh Quang Chau,B22DCCN413,7.0,2.7,9.2,4.1,5.8
317,Dang Bao Quang,B22DCBC900,8.6,7.4,2.1,0.8,4.7
318,Dinh Xuan Phuc,B22DCKT775,9.9,5.9,1.8,7.8,6.4
319,Nguyen Quoc Chau,B22DCCN039,9.3,2.7,8.9,1.8,5.7
320,Le Quang Duy,B22DCMR563,6.0,6.4,1.1,0.7,3.5
321,Bui Gia Trang,B22DCQT305,7.6,6.6,9.7,9.2,8.3
322,Ta Duc Tu,B22DCMR999,8.0,0.7,2.5,3.0,3.5
323,Dinh Duc Duy,B22DCKT859,7.2,8.4,3.0,2.9,5.4
324,Mai Cong Tam,B22DCKT995,9.7,1.7,1.0,9.2,5.4
325,Tran Van Long,B22DCBC706,7.7,5.6,8.8,9.5,7.9
326,Le Minh Duy,B22DCMR238,6.8,0.9,6.0,4.4,4.5
327,Phan Thu Ha,B22DCBC732,6.2,3.8,1.8,5.6,4.3
328,Ngo Manh Tam,B22DCKT032,7.3,0.1,7.9,9.4,6.2
329,Nguyen Bao Nam,B22DCPT557,7.6,8.0,2.7,2.6,5.2
330,Vo Bao Lan,B22DCFT552,9.7,1.3,5.0,6.6,5.7
331,Le Bao Ly,B22DCBC604,8.0,5.3,8.8,8.5,7.7
332,Doan Huu Tam,B22DCKH043,7.5,1.0,7.8,9.6,6.5
333,Dang Gia Huong,B22DCMR103,6.7,9.1,5.2,6.4,6.8
334,Dinh Minh Khanh,B22DCBC972,6.1,2.5,5.8,0.8,3.8
335,Vu Ngoc Son,B22DCPT722,9.7,2.1,4.2,8.8,6.2
336,Do Quang Chi,B22DCAT461,9.4,4.5,1.9,2.0,4.5
337,Dang Duc Hieu,B22DCKT803,9.1,3.5,1.1,5.5,4.8
338,Ta Thanh Long,B22DCFT928,7.3,1.2,3.7,8.7,5.2
339,Duong Xuan Phuc,B22DCKH736,8.7,0.9,7.3,8.9,6.4
340,Vu Quoc Trang,B22DCFT524,8.0,9.1,0.3,7.0,6.1
341,Doan Duc Phuc,B22DCKT771,7.6,5.0,8.6,7.1,7.1
